"PVWatts Hourly PV Performance Data"
"Requested Location","los angeles, CA"
"Location","Lat, Lng: 34.05, -118.26"
"Latitude (DD)","34.05"
"Longitude (DD)","-118.26"
"Elevation (m)","97.559997558594"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","13","1.1","0.12","0","13","0","0"
"1","1","1","0","0","13","1.1","0.12","0","13","0","0"
"1","1","2","0","0","13","1.1","0.12","0","13","0","0"
"1","1","3","0","0","13","1.1","0.12","0","13","0","0"
"1","1","4","0","0","12","1.2","0.12","0","12","0","0"
"1","1","5","0","0","12","1.3","0.12","0","12","0","0"
"1","1","6","0","0","12","1.4","0.12","0","12","0","0"
"1","1","7","229","30","13","1.8","0.12","94.31","15.23","631.499","569.487"
"1","1","8","566","72","16","2.2","0.12","353.999","24.309","3041.292","2893.891"
"1","1","9","725","93","19","1.8","0.12","571.042","33.584","4830.731","4619.923"
"1","1","10","856","89","21","1.1","0.12","743.986","43.263","6029.925","5776.625"
"1","1","11","888","92","22","0.7","0.12","822.158","49.281","6475.689","6206.594"
"1","1","12","890","91","23","0.9","0.12","819.445","48.777","6469.633","6200.752"
"1","1","13","886","79","23","1.2","0.12","745.487","44.775","6011.012","5758.383"
"1","1","14","812","71","22","1.5","0.12","584.475","37.944","4870.53","4658.312"
"1","1","15","659","56","19","1.5","0.12","365.157","28.9","3058.62","2910.605"
"1","1","16","287","22","17","1.1","0.12","100.525","19.388","469.72","413.44"
"1","1","17","0","0","15","0.8","0.12","0","15","0","0"
"1","1","18","0","0","13","0.8","0.12","0","13","0","0"
"1","1","19","0","0","12","1.1","0.12","0","12","0","0"
"1","1","20","0","0","12","1.2","0.12","0","12","0","0"
"1","1","21","0","0","12","1.3","0.12","0","12","0","0"
"1","1","22","0","0","11","1.5","0.12","0","11","0","0"
"1","1","23","0","0","11","1.7","0.12","0","11","0","0"
"1","2","0","0","0","11","2","0.12","0","11","0","0"
"1","2","1","0","0","11","2.4","0.12","0","11","0","0"
"1","2","2","0","0","11","2.7","0.12","0","11","0","0"
"1","2","3","0","0","11","3","0.12","0","11","0","0"
"1","2","4","0","0","11","3.7","0.12","0","11","0","0"
"1","2","5","0","0","12","4.3","0.12","0","12","0","0"
"1","2","6","0","0","12","4.8","0.12","0","12","0","0"
"1","2","7","432","26","13","5.4","0.12","130.909","14.738","860.337","790.216"
"1","2","8","754","50","16","5.8","0.12","413.815","21.714","3604.247","3436.899"
"1","2","9","882","62","19","6","0.12","626.857","27.494","5444.289","5211.741"
"1","2","10","944","68","21","6.2","0.12","779.502","31.315","6629.634","6355.084"
"1","2","11","970","70","22","6.1","0.12","856.451","33.448","7193.94","6899.395"
"1","2","12","969","70","22","5.9","0.12","852.739","33.657","7158.569","6865.277"
"1","2","13","941","68","22","5.8","0.12","768.984","32.643","6510.556","6240.225"
"1","2","14","873","62","21","5.5","0.12","609.009","29.742","5246.143","5020.616"
"1","2","15","26","90","19","4.4","0.12","104.634","20.716","869.463","799.019"
